title	genre	singers	writers	composers	lyrics
Τι να φταίει 1998	-	Γλυκερία	Χρήστος Προμοίρας	Στέλιος Φωτιάδης	Πάλι στον Πύργο το Λευκό χαράματα γυρίζω, από την Καμάρα στο Ντεπώ, χορεύουν τα άστρα στο καπώ, κι εγώ φωτογραφίζω, τις βόλτες στο Πανόραμα, τις νύχτες στην Περαία, τα στέκια μας τα γνώριμα που ζήσαμε παρέα. Τι να φταίει, τι συμβαίνει και πονούν οι ερωτευμένοι, τι να φταίει, τι συμβαίνει κι ότι αγάπησα πεθαίνει, τι να φταίει, τι συμβαίνει. Πάλι στον Πύργο το Λευκό χαράματα γυρίζω, από την Καμάρα στο Ντεπώ, κερνώ τσιγάρο τον καημό, και τα παλιά σκαλίζω, φιλιά τα Σαββατόβραδα, στην Κρήνη, στο Βαρδάρη, και όνειρα που κάναμε στο ίδιο μαξιλάρι. Τι να φταίει, τι συμβαίνει και πονούν οι ερωτευμένοι, τι να φταίει, τι συμβαίνει κι ότι αγάπησα πεθαίνει, τι να φταίει, τι συμβαίνει.
Τι σημαίνει ένα τρένο; 2009	-	Μανώλης Φάμελλος	Μανώλης Φάμελλος	Μανώλης Φάμελλος	Αν δεις στον ύπνο σου ένα ξένο σιωπηλό και θλιμμένο μου λένε ότι είναι κακό σημάδι κι αν δεις νερό καθαρό στο πηγάδι θα βρει η καρδιά σου βάλσαμο. Μα εγώ βλέπω μόνο ένα τρένο να περνάω κι όλο πίσω να μένω και ξυπνώ και έχουν φύγει τα τρένα και ρωτά μήπως χάνω και σένα. Τι θα πει, τι σημαίνει ένα τρένο; Φίδι αν δεις φαρμακερό μου λένε, άλλαξε πλευρό κάποιος σε κακομελετάει. Κι αν δεις καθρέφτη να σπάει σε περιμένει βάσανο, σε περιμένει. Μα εγώ βλέπω μόνο ένα τρένο να περνάω κι όλο πίσω να μένω και ξυπνώ και έχουν φύγει τα τρένα και ρωτά μήπως χάνω και σένα. Τι θα πει, τι σημαίνει ένα τρένο; Αν δεις στον ουρανό πουλιά με πολύχρωμα φτερά θα πει η τύχη σου αλλάζει κι ίσως μια αυγή στο βάθος χαράζει σβήνει η νύχτα η μακριά αν σε ξυπνήσουν τα πουλιά.
 Τίποτ άλλο	-	Αρλέτα	Ιωαννίδης Θανάσης	Αρλέτα	Τα όνειρα αυτών που ταξιδέψανε με τόσες προσδοκίες κάτω από τη βροχή, κι ένας χλωμός, κι ένας χλωμός, κι ένας χλωμός ήλιος, κι ένας χλωμός ήλιος, τίποτε άλλο. Τους πόθους που ποτέ δε ζευγάρωσαν σε ένα αστέρι του κάμπου μέσα στη σιγή κι ένα πικρό χαμόγελο, τίποτε άλλο. Τις ελπίδες αγέλαστων παιδιών που πέταξαν μέσα στο πρωί και λίγα μαραμένα χαμολούλουδα, και λίγα μαραμένα χαμολούλουδα, τίποτα, τίποτα, τίποτα, τίποτα άλλο, τίποτα, τίποτα, τίποτα, τίποτε άλλο.
Τις άδειες νύχτες 1966	-	Αρλέτα	Γιώργος Παπαστεφάνου	Γιώργος Κοντογιώργος	Τις άδειες νύχτες όλοι μιλούσαν για τη βροχή, για μας η ελπίδα και η αγάπη είχαν χαθεί. Λες και η καρδιά από τον ατέλειωτο τον ουρανό κράτησε μόνο τη συννεφιά κι έναν καημό. Τις άδειες νύχτες όλοι γελούσαν για τα παιδιά, στα κρύα μας χέρια δεν είχε λύπη μήτε χαρά. Κι εγώ τις ώρες που έχουν χαθεί ψάχνω να βρω σε μια κάμαρη με το ταβάνι για ουρανό. Τις άδειες νύχτες βλέπαμε στο όνειρο μια ακρογιαλιά, τον ήλιο ελεύθερο, τα μάτια όμορφα και λαμπερά. Τώρα τον ήλιο μας όλα τα σύννεφα τον κυνηγούν, τώρα τα μάτια μας βλέπουν τη θάλασσα και δε μιλούν. Τις άδειες νύχτες ονειρευόμαστε μια ακρογιαλιά, τον ήλιο ελεύθερο, τα μάτια όμορφα και λαμπερά.
Τις ξένες πόρτες μη χτυπάς 1985	-	Σωτηρία Μπέλλου	Μάνος Ελευθερίου	Ηλίας Ανδριόπουλος	Στις ξένες πόρτες ήρθαμε περαστικοί ζητιάνοι και κάποτε χτυπήσαμε στα σπίτια που αγαπήσαμε μα όλοι έχουν πεθάνει. Τις ξένες πόρτες μη χτυπάς κι ας είναι γιορτής ημέρα κι αν κάποιος θα σε λυπηθεί και σε ρωτήσει πώς και τι τραβήξου παραπέρα. Στις ξένες πόρτες είπαμε τον αναστεναγμό μας μα οι άνθρωποι τις κλείσανε και μόνες τους ανοίξανε στον απολογισμό μας. Τις ξένες πόρτες μη χτυπάς κι ας είναι γιορτής ημέρα κι αν κάποιος θα σε λυπηθεί και σε ρωτήσει πώς και τι τραβήξου παραπέρα
Το αλογάκι 2000	-	Ορφέας Περίδης	Νίκος Κανάκης	Ορφέας Περίδης	Τρόκο, τροκ το αλογάκι στην αυλόμαντρα μέσα χλιμιντράει και σκάβει και το πέταλο ανάβει. Τρόκο, τροκ μες στον κάμπο! Ποιος μπορεί να το φτάσει; Τα πουλιά και τα αγρίμια τρόκο, τροκ θα περάσει. Φτερωτό μου αλογάκι στάσου, στάσου λιγάκι να με πάρεις κι εμένα τρόκο, τροκ θα πετάμε κι όπου θέλεις θα πάμε
Το αμπέλι	-	Λιζέττα Καλημέρη	Γιώργος Σιδερής	Ορφέας Περίδης	Σκουριάσανε οι πόλεις, θαμπώσαν τα χωριά με τούτη την ομίχλη, με αυτήνε την σκουριά. Ας είχα ένα αμπέλι στην άκρη της Κνωσού θα έπαιζα εγώ το τέλι κι εσύ το σώμα σου. Θα πέρναγαν τουρίστες να φωτογραφηθούν θα εγείρονταν κι οι μύστες κι αυτοί να κουνηθούν. Ας ήταν τα αμπέλια κοντά στα μάρμαρα να φεύγουνε σαν χέλια κορίτσια γάργαρα. Σκουριάσανε οι πόλεις, θαμπώσαν τα χωριά με τούτη την ομίχλη, με αυτήνε την σκουριά. Αχ τι είναι αυτή η πατρίδα, της λείπουν τα λεφτά, ο κόσμος στη θυρίδα, στο αμπέλι εμείς κλεφτά. Θα πέρναγαν τουρίστες να φωτογραφηθούν θα εγείρονταν και οι μύστες κι αυτοί να κουνηθούν. Ας ήταν τα αμπέλια κοντά στα μάρμαρα να φεύγουνε σαν χέλια κορίτσια γάργαρα. Αχ τι είναι αυτή η πατρίδα, της λείπουν τα λεφτά, ο κόσμος στη θυρίδα, στο αμπέλι εμείς κλεφτά.
Το αναρώτημα για την κόρη 2002	-	Ψαραντώνης	Παραδοσιακό	Παραδοσιακό	Άστρι μου κι αστρίτσι μου κι αυγερινέ κι ασπερινέ και χρυσοπράσινε μα αϊτέ ήρθε το ξημέρωμα το καλό ξημέρωμα κι ηύρε μα επά στη γειτονιά, και στην ερωδιά. Λέσι με οι γειτόνισσες οι κερα κοκόνισσες. Ίντα γυρεύεις μωρέ επά στη γειτονιά, στη γειτονιά, στην ερωδιά; Εγώ μια κόρη αγαπώ κι ήρθα να ιδώ κι αν τηνέ δω να τση το πω τση κόρης πως την αγαπώ. Για πέ μας τα σουσούμιαν τση, μπορέτως την κατέχουμε μπας και την αμπατήσουμε.
Το αόρατο αστέρι 2005	-	Γιώτα Νέγκα	Μανώλης Γαλιάτσος	Μανώλης Γαλιάτσος	Δεν είναι ο δρόμος που φτιάχνει αγάπες. Δεν είναι η ψυχή μου που αλλάζει φορά. Δεν είναι εικόνα που απλοί διαβάτες με ορθάνοιχτα μάτια κοιτούν σαν μωρά. Υπάρχει ένα αστέρι το αόρατο αστέρι τα όνειρα πλάθει με άμμο και λάθη και φτιάχνει ζωή. Το αόρατο αστέρι τον λόγο δεν ξέρει μονάχα πως θέλει εσένα όταν θέλει καρδιάς μου πνοή. Δεν είναι τα μάτια σου που έχω αγαπήσει μα έχουν τα μάτια σου μια φυλακή που έκλεισε κάτι από τη Σελήνη, του κόσμου τη μνήμη και την Μουσική.
Το αποκηρυγμένο	Καημός	Δεληβοριάς Φοίβος	Δεληβοριάς Φοίβος	Δεληβοριάς Φοίβος	Δεν έπιασε καμιά σκηνοθεσία καμιά μετάδοση δεν έγινε όπως πρέπει κι έτσι αποκλείστηκε, αποκηρύχτηκε το τραγουδάκι που δεν ήτανε γραφτό. Να πεις σε αγάπησα, στα αλήθεια σε αγαπώ. Καμιά φωνή δεν άρχισε να ψάλλει, κανένα όργανο δεν έπιασε τον τόνο και έτσι αποκρύφτηκε, αποσιωπήθηκε το τραγουδάκι που δεν ήτανε γραφτό. Να πεις σε αγάπησα, στα αλήθεια σε αγαπώ. Όλα όμως μπήκαν στη σωστή τους θέση και πρώτος πρώτος χειροκρότησε ο χρόνος σαν επιβλήθηκε και υιοθετήθηκε. Το άλλο τραγούδι που είναι σε όλους πια γνωστό και λέει πως δε με αγαπάς κι ας σε αγαπώ.
Το αχυρένιο σπίτι 2005	-	Χαΐνηδες	Δημήτρης Αποστολάκης	Δημήτρης Αποστολάκης	Έχω ένα αχυρένιο σπίτι μες σε κοραλλένια δάση, κι ένα χάρτινο φεγγάρι σε ένα σύννεφο κρεμάσει. Ω πω πω πω πω και η μόνη μου αλήθεια είναι ότι σε αγαπώ! Καρυδότσουφλο για βάρκα με κουπιά οδοντογλυφίδες έχω, και γυρνώ τον κόσμο δίχως χάρτες και πυξίδες. Έχω μια καρδιά γυαλένια που κοντεύει πια να σπάσει, κι ώρες ώρες στάζει αίμα σαν χυμό από κεράσι.
Το βιολάκι 2008	-	Σοφία Παπάζογλου	Άλκηστις Χαλικιά	Μέλπω Χαλκουτσάκη	Πέντε κομματάκια ξύλο καλά σχηματισμένα κάποτε ήταν ένα κάποτε παλιά. Ποιος μάστορας αλήθεια τα είχε πιάσει στα χέρια του να πλάσει μοναδικό βιολί. Δεν ξέρω τα τραγούδια που είπαν οι χορδές κι από το ηχείο μέσα ποιες βγήκαν μουσικές. Δεν ξέρω ποια αγάπη δόξασε το δοξάρι γράφοντας στον αέρα με βέλη δυο καρδιές. Το πήρα το βιολάκι στα χέρια αγκαλιά του χάιδεψα λιγάκι τη σκόνη στην κοιλιά. Θα σε γιατροπορέψω, του είπα σιγανά. Θέλω να σε έχω φίλο στο σπίτι συντροφιά. Και φύγαμε οι δυο μας έξω από τη βοή μια αγάπη ή μια φιλία να αρχίσουμε μαζί. Και πέρασαν οι μέρες με ήλιο και βροχές κι όλες του τις έγιανα τις ξύλινες πληγές. Του κέντησα λουλούδια και κόκκινα βελούδα έστρωσα μες στη θήκη του για να είναι γιορτινή. Κι έχει τέτοια χάρη και όψη λυγερή κάθομαι, το κοιτάζω γεμίζει η σιωπή. Μοιάζεις, του λέω, καινούριο, έχεις κλειδιά, φωνή μα ακόμη δε μου έχεις ούτε μια νότα πει. Σε αγγίζω, σε τσιμπάω και τις χορδές κουνώ σου λέω σε αγαπάω κι είμαι για σένα εδώ. Ξέρω να περιμένω ξέρω να καρτερώ κι αν είσαι μαγεμένο θα βρω το γιατρικό. Μου φτάνει που υπάρχεις και κατοικείς εδώ και στέλνεις στα όνειρά μου μεταξωτό ένα ντο.
Το γεγονός 2009	-	Σοφία Παπάζογλου	Μανώλης Ρασούλης	Χρήστος Νικολόπουλος	Μες στη Ζάκυνθο προσφάτως εσυνέβη γεγονός, ήταν ο Θεός φευγάτος τρελαμένος ο καιρός. Η ζωή μας, η καημένη φαίνεται εντελώς χαμένη, με το Χάρο ερωτευμένη και βαθιά τραυματισμένη. Τώρα μοιάζει με τη γραία που τη σήκωσε ο κυκλώνας και τη στριφογύρισε και δεν έγινε τυχαία είναι αρχαίος ο κανόνας μας προειδοποίησε. Μες στη Ζάκυνθο προσφάτως εσυνέβη γεγονός, ορατώς και αοράτως απορεί κι ο Σολωμός. Η ζωή μας προδομένη σε μπαλκόνι σαστισμένη, πράξη απονενοημένη και μια πρόωρα γερασμένη. Τώρα μοιάζει με τη γραία που τη σήκωσε ο κυκλώνας και τη στριφογύρισε και δεν έγινε τυχαία είναι αρχαίος ο κανόνας μας προειδοποίησε
Το γουρουνάκι	-	Φαραντούρη Μαρία	Τόμας Ντίλαν	Πασχαλίδης Ηρακλής	Τούτο εδώ το γουρουνάκι πήγε στο παζάρι τούτο εδώ το γουρουνάκι μένει στο πατάρι τούτο εδώ το γουρουνάκι έφαγε ροσμπίφ το γουρουνάκι όμως αυτό δεν έφαγε μπιτ τούτο εδώ το γουρουνάκι έκανε. Ουά. Ουά.
Το γράμμα	-	Λαθρεπιβάτες	Παντελής Θαλασσινός	Παντελής Θαλασσινός	Έχω ένα γράμμα φυλαγμένο στο παλτό μου, στη μέσα τσέπη διπλωμένο, καθαρό, δεν ξέρω αν γράφτηκε στον ξύπνιο ή στο όνειρό μου γράμμα γραμμένο σε ένα αυτόχειρα νεκρό. Γράφει πως τέλειωσες μεγάλε κι είναι κρίμα είναι η αρρώστια που τρελαίνει σαν χτυπά, δεν προλαβαίνεις ούτε καν να πάει το σήμα να σε γλιτώσουν με τα βαρβιτουρικά. Όμως μη νοιάζεσαι για αυτό, κορίτσι πράμα, όπως δε θα έπρεπε κανείς να ανησυχεί, για ένα χαίρομαι, ότι αυτό το γράμμα, δεν είναι εκείνο που μου έγραψες εσύ. Όμως μη νοιάζεσαι, δεν είναι από εκείνα τα γραμματάκια με τα λόγια της στιγμής, ούτε κι αυτό το τελευταίο πριν ένα μήνα ήσουνα πάντοτε υπέρ της λογικής. Με αποστολέα παραλήπτη τον εαυτό μου αυτό το γράμμα το διαβάζω μόνο εγώ, το έχω κρυμμένο τώρα μέσα στο παλτό μου μην το διαβάσουν και με πάρουν για τρελό. Όμως μη νοιάζεσαι για αυτό, κορίτσι πράμα, όπως δε θα έπρεπε κανείς να ανησυχεί, για ένα χαίρομαι, ότι αυτό το γράμμα, δεν είναι εκείνο που μου έγραψες εσύ.
Το γριγρι 1946	-	Ρόζα Εσκενάζη	Μίνωας Μάτσας	Σπύρος Περιστέρης	Ήρθε πάλι στον Περαία, Το γρι γρι με την παρέα. Φορτωμένο φρέσκα ψάρια. Μουγκριά και καλαμάρια. Το έχουν το γρι γρι ψαράδες. Παλληκάρια χουβαρντάδες. Μόλις ξεπουλάνε πάνε. Στην ταβέρνα και γλεντάνε. Πίνουν όμορφα χορεύουν. Κι από τα βιολιά γυρεύουν. Να χορέψουν τσιφτετέλι. Αμάν, αμάν, αμάν, γιαλελέλι. Αχ, γιάλα! Γιαλελέλι, με γιάλα!
Το δέντρο της Ανατολής 1976	-	Αρλέτα	Ανέστης Τριανταφύλλου	Αρλέτα	Στα βάθη της Ανατολής φυτρώνει δέντρο αμάραντο. Θεοί κι ανθρώποι το ποτίζουν χρόνια τώρα κι οι ρίζες του κρατούν τη γη. Σμίγει και τους εφτά ουρανούς κρατάει τους πέντε ωκεανούς κάθε που ανθίζει ευωδιάζει όλη η πλάση ανθίζει η αγάπη κι η ζωή. Στα χαμηλότερα κλαριά προφήτες κι άγριοι κριτές και στα ψηλά κοντά στον ουρανό και στα άστρα Αρχάγγελοι και ποιητές.
Το δίκιο μου 2014	-	Γιώτα Νέγκα	Οδυσσέας Ιωάννου	Θέμης Καραμουρατίδης	Εγώ έχω το δίκιο μου κι εσύ τον κόσμο όλο νομίζεις θα βρεθούμε στα μισά μιλάω με τον ίσκιο μου τρομάζω με το ρόλο κοιμάμαι με τα μάτια μου ανοιχτά. Εμένα με φωνάζουνε με το μικρό μου μόνο η σκούφια μου κρατά από το πουθενά κι εσένα που σε ήξερε κι η πέτρα που σηκώνω τρομάζεις όταν έρχομαι κοντά. Εγώ μετράω τα ρέστα μου να βγάλω κι άλλο μήνα ανοίγω και δε βλέπω ουρανό εσύ έχεις στο πιάτο σου ολόκληρη Αθήνα ανοίγεις και χαζεύεις το κενό. Εγώ έχω το δίκιο μου κι εσύ τον κόσμο όλο νομίζεις θα βρεθούμε στα μισά μιλάω με τον ίσκιο μου τρομάζω με το ρόλο κοιμάμαι με τα μάτια μου ανοιχτά. Εμένα με φιλήσανε στο στόμα οι ανάγκες την έκανα τη βόλτα στα βαθιά κι εσένα το ταξίδι σου δυο καρφωμένες ράγες νομίζεις ότι πήγες μακριά. Εγώ μετράω τα ρέστα μου να βγάλω κι άλλο μήνα ανοίγω και δε βλέπω ουρανό εσύ έχεις στο πιάτο σου ολόκληρη Αθήνα ανοίγεις και χαζεύεις το κενό.
Το ερειπωμένο σπίτι 1976	-	Αρλέτα	Αρλέτα	Αρλέτα	Ποιος το αγόρασε αυτό το ερειπωμένο σπίτι, με την αυλή πνιγμένη στη γλυσίνα και στο δυόσμο, με όλη τη θάλασσα και τα καΐκια μπρος του κι όλη τη θλιψη περασμένων μεγαλείων, πίσω. Πάνω στους τοίχους του, όλη η αγοραπωλησία κι ένα δελφίνι, από παιδιού χεράκι, καμωμένο, έγινε ανάμνηση και ίσκιος, η γριά κυρία, η καπετάνισσα κυρά, χωρίς λιμάνι και πυξίδα. Στη σάλα του προγόνου, η παλιά φωτογραφία, το σκαλιστό σκαμνί κι ο ραγισμένος, Ρούσικος καθρέφτης, βασιλικά, πληρώσανε, του γιου, μιαν αμαρτία, και η αρχοντιά, θυσία στη ντάμα, στο βαλέ, στο ρήγα. Ποιος το αγόρασε αυτό το ερειπωμένο σπίτι, αφέντης ποιος, το κρύο τζάκι του ξανά θα ανάψει, όσο κι αν το αγαπήσει, πάντα, αυτός ο ίσκιος πίκρας παλιάς, μέσα στις αυλες του, γκρίζος θα γυρίζει. Όσο κι αν το αγαπήσει, πάντα, αυτός ο ίσκιος πίκρας παλιάς, μέσα στις αυλες του, γκρίζος θα γυρίζει.
Το θαύμα 2000	-	Λίτσα Γιαγκούση	Τάσος Βουγιατζής	Σόλων Αποστολάκης	Γέλιο μου και δάκρυ, έρωτα μου εσύ όλοι οι δρόμοι τώρα είναι ανοιχτοί πάρε με να πάμε, όχι δε φοβάμαι έχω μάθει να είμαι δυνατή. Κλείνω τα μάτια, όλα τα βλέπω τι με λυτρώνει, τι δεν αντέχω βλέπω το ίδιο χάδι και τραύμα μες στην αγάπη σου ζω το θαύμα. Φως και ανατολή μου, πόρτα μυστική άνοιξες και μπήκα, μη μου πεις γιατί φτάνει που σε έχω και κοντά σου τρέχω πριν ο φόβος γίνει φυλακή
Το θαύμα 2010	-	Σωκράτης Μάλαμας	Άλκης Αλκαίος	Σωκράτης Μάλαμας	Φεύγουν γοργά τα χρόνια και μένουν οι στιγμές όπως λίγα λουλούδια στων βράχων τις ρωγμές. Όσα σου είχα τάξει άνεμος και καπνός συγγνώμη που δεν ήμουνα για σένα ουρανός. Κι αν χαμηλά πετάμε και με μισά φτερά αντέχουμε ακόμα κι αυτό είναι που μετρά. Ρίξε άνθος αγγέλου στου έρωτα τις ρωγμές το θαύμα είναι να ζεις, καρδιά μου, όλες σου τις στιγμές. Φεύγουν γοργά τα χρόνια και πουθενά ένα φως στις έγχρωμες αφίσες κοιτάς τα ΠΡΟΣΕΧΩΣ Μια ροζ χαλκομανία στο φλίπερ σου γελά φυσάει αδιαφορία να ντύνεσαι καλά. Κι αν χαμηλά πετάμε και με μισά φτερά αντέχουμε ακόμα κι αυτό είναι που μετρά. Ρίξε άνθος αγγέλου στου έρωτα τις ρωγμές το θαύμα είναι να ζεις, καρδιά μου, όλες σου τις στιγμές
Το καλό φεγγάρι 2017	-	Απόστολος Κίτσος	Μιχάλης Γκανάς	Μιχάλης Καλογεράκης	Καλό φεγγάρι λέω, χρυσό χαλίκι στο βυθό του ονείρου σου με μάτια που πονούν από την αγρύπνια. Καλό φεγγάρι λέω μα ποιος θα ακούσει τούτο το τραγούδι. Καλά καλά γιατί το τραγουδώ μέσα στις χούφτες μου κρατώ τον άνεμο που ξέρει πολλά πανιά, ξέρει πολλά μαντήλια, μα ποιος θα ακούσει τούτο το τραγούδι. Οι φίλοι ξέρεις λιγοστεύουνε γίνονται δικηγόροι, γιατροί, καθηγητές. Ξαφνιάζεσαι μια μέρα, αρχίζουν να μιλάνε για αυτοκίνητα, ταξίδια στην Ευρώπη. Αυτά δεν είναι άσχημα, μονάχα ασυνήθιστα. Ξαφνιάζεσαι μια μέρα, κοιτάζεις μες τα μάτια μιας γυναίκας, όποιας γυναίκας, λες σιγανά παλιούς σκοπούς. Θα φύγω το χειμώνα γέρνοντας λίγο αριστερά από το βάρος της αγάπης σου. Καλό φεγγάρι λέω, χρυσό χαλίκι στο βυθό του ονείρου σου με μάτια που πονούν από την αγρύπνια. Καλό φεγγάρι λέω μα ποιος θα ακούσει τούτο το τραγούδι.
Το καράβι 2017	-	Παντελής Θαλασσινός	Κώστας Τηλαβερίδης	Κώστας Τηλαβερίδης	Καράβι το ταξίδι σου στην άγκυρα τελειώνει για αυτό κρατήσου από το βυθό κι άφησε το τιμόνι, Να ταξιδεύεις χαίρεσαι στο κύμα που πεινάει, βαθιά στη μαύρη θάλασσα πες μου, τι σε τραβάει. Σηκώνεις άσπρο το πανί, ξελύνεις τα σχοινιά σου και σαν πουλιά στην κουπαστή στέκονται τα όνειρά σου. Άφήνεις πίσω τη στεριά να πας σε ξένα μέρη ποιος άφησε τη σιγουριά για κάτι που δεν ξέρει. Μες στο λιμάνι δεν μπορώ, τον κόσμο τον φοβάμαι χίλιες φορές στο πέλαγο, στο κύμα να κοιμάμαι. Να κυνηγάω το άπιαστο στου ορίζοντα το τέρμα γιατί η αλήθεια μου ζητάει να ζήσω μες στο ψέμα. Αδειάζω από τα αμπάρια μου τα λόγια των ανθρώπων τα βάσανα και τους καημούς τόσων χαμένων κόπων. Του ταξιδιού την ομορφιά κανεις δε στην χαρίζει θέλει ψυχή να έχεις βαθιά, καρδιά που να δακρύζει.
Το καράβι φεύγει τα μεσάνυχτα 2001	-	Βασίλης Καζούλης Φωνητικά - Βασίλης Παπακωνσταντίνου Σωκράτης Μάλαμας Βασίλης Καζούλης	Μάρω Βαμβουνάκη	Τάκης Βούης	Το καράβι φεύγει τα μεσάνυχτα μέσα από την καρδιά του ρολογιού τα πανιά απλώνει στους δυο δείχτες του, πάρτε μου την άγκυρα από το νου. Θέλω να σαλπάρω, θέλω και να μείνω, γύρω από σένα να γυρνώ, στους ωκεανούς σου πάντα να αρμενίζω, στα δικά σου δάση να χαθώ. Θα φορτώσω μια ζωής τα αμπάρια του κι ένα τραγουδάκι του καημού, παραμύθια και μια φυσαρμόνικα, πάρτε μου την άγκυρα από το νου.
Το κόκκινο πουκάμισο	Έρωτας	Βόσσου Σοφία	Αρλέτα	Βόσσου Σοφία	Κύλησα πάνω σου χθες βράδυ σαν βροχή. Και έβαψα κόκκινο το γκρίζο σου πουκάμισο. Χείλια γλυκά μου θα σε μάθω εγώ να ζεις. Σαν ακροβάτης σε σχοινί πάνω από την άβυσσο. Κύλησα πάνω σου χθες βράδυ σαν βροχή. Σαν όστρια σκόρπισα όλα τα καθώς πρέπει σου. Και άναψα πυρκαγιά στην κρύα σου ζωή. Και έκαψα ως το κόκκαλο τα πρέπει σου. Εμείς οι δυο θα ταξιδέψουμε ότι και αν πρέπει να ξεχάσουμε ότι και αν χρειαστεί να χάσουμε ήταν η ώρα, ήταν η μέρα, ήταν η μοίρα ήταν το φως μες στο σκοτάδι ήταν το γκρίζο σου που έβαψα κόκκινο της φωτιάς χθες βράδυ. Κύλησα πάνω σου χθες βράδυ σαν βροχή. Κι ήσουν γελαστός και ωραίος σαν αρχάγγελος. Το κόκκινο πουκάμισό σου έγινε αστραπή. Της ομορφιάς που εμείς θα ζήσουμε προάγγελος.
Το κόκκινο φουστάνι 1986	-	Ελευθερία Αρβανιτάκη Διονύσης Σχοινάς Βασίλης Καρράς	Κώστας Κινδύνης	Σταύρος Κουγιουμτζής	Η νύχτα κατεβαίνει με μαύρο φερετζέ κι η πόλη διψασμένη για φώτα και σουξέ. Βάλε το κόκκινο φουστάνι εκείνο που σε κάνει να μοιάζεις πυρκαγιά. Έλα και μη μετράς την ώρα τα νιάτα είναι δώρα που καίνε σαν φωτιά. Τι να μας περιμένει αύριο το πρωί ποιος έρωτας πεθαίνει και ποιος θα γεννηθεί.
Το κοκορέτσι	-	Ρόζα Εσκενάζη	Μενέλαος Μιχαηλίδης	Μενέλαος Μιχαηλίδης	Έχω φίνο μεζεδάκι, παστουρμά και σουτζουκάκι και το κοκορέτσι κι αυγά από το κοτέτσι. Ααααχ, όλη μέρα τηγανίζω και τη νύχτα τα γυρίζω και πουλάω κοκορέτσι και αυγά από το κοτέτσι. Παίρνω βόλτα τις ταβέρνες, βλέπω χήρες, παντρεμένες, να ζητούν λιγάκι από το φίνο σουτζουκάκι. Ααααχ, όλη μέρα τηγανίζω και τη νύχτα τα γυρίζω και πουλάω κοκορέτσι και αυγά από το κοτέτσι. Άλλη πάλι μια τσακίρα που έστειλε η ζωντοχήρα, γύρευε λιγάκι λεπτό κοκορετσάκι. Ααααχ, όλη μέρα τηγανίζω και τη νύχτα τα γυρίζω και πουλάω κοκορέτσι και αυγά από το κοτέτσι. Χθες το βράδυ μια νταρντάνα, μια αφράτη παραμάνα, γύρευε λιγάκι από το φίνο σουτζουκάκι. Ααααχ, όλη μέρα τηγανίζω και τη νύχτα τα γυρίζω και πουλάω κοκορέτσι και αυγά από το κοτέτσι.
Το κορίτσι απόψε θέλει	-	Πρόδρομος Τσαουσάκης Άννα Μπέλλα Γιάννης Τατασόπουλος Ελευθερία Αρβανιτάκη Γιώργος Μαργαρίτης Δημήτρης Κοντολάζος Άννα Χρυσάφη Σταύρος Πλέσσας Ελένη Βιτάλη	Χρήστος Κολοκοτρώνης	Γιάννης Τατασόπουλος	Το κορίτσι απόψε θέλει. Να χορέψει τσιφτετέλι. Να τρελάνει τον ντουνιά. Παίξε μας και ταξιμάκι. Για να σπάσει νταλγκαδάκι. Με γιαβάσικη πενιά. Έλα σήκω. Χόρεψέ το. Το κορμί σου. Λύγισέ το. Όλα απόψε είναι δικά σου. Έλα κι ήρθε η σειρά σου. Χόρεψε το να χαρείς. Για να δεις ότι αξίζω. Όλα σου τα χαλαλίζω. Τέτοιον άνδρα δε θα βρεις.
Το κυνηγημένο πουλί	-	Γρηγόρης Μπιθικώτσης	Ερρίκος Θαλασσινός	Μίκης Θεοδωράκης	Πουλί που φεύγεις μακριά αλλού να τραγουδήσεις μην πιεις το πικροβότανο και πίσω δε γυρίσεις. Πουλί που φεύγεις με καημό πουλί κυνηγημένο, που δεν αντέχεις στον χιονιά και φεύγεις λυπημένο. Θα έρθει ξανά η Άνοιξη θα έρθει το Καλοκαίρι, θα λάμψει ο ήλιος στα μαλλιά στο μέτωπο το αστέρι. Θα βάλουν όλοι γιορτινά να βγούνε στα μπαλκόνια, να δουν να λιώνουν στα βουνά και στην καρδιά τα χιόνια. Πουλί που φεύγεις μακριά αλλού να τραγουδήσεις.
